Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925822Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 41, 'column': 19, 'end_line': 41, 'end_column': 79}"
generic.secrets.security.detected-etc-shadow.detected-etc-shadow,linux shadow file detected,fixed,2023-10-30T11:37:22.925819Z,high,low,untriaged,,,2024-05-07 22:53:20.903963+00:00,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'etc/shadow', 'line': 1, 'column': 1, 'end_line': 1, 'end_column': 14}"
generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Generic API Key detected,open,2023-10-30T11:37:22.925816Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.bashrc', 'line': 106, 'column': 18, 'end_line': 106, 'end_column': 59}"
generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Generic API Key detected,open,2023-10-30T11:37:22.925813Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'cloud/.tugboat', 'line': 4, 'column': 3, 'end_line': 4, 'end_column': 44}"
generic.secrets.security.detected-private-key.detected-private-key,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file.",open,2023-10-30T11:37:22.925802Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.ssh/id_rsa', 'line': 1, 'column': 1, 'end_line': 2, 'end_column': 28}"
generic.secrets.security.detected-private-key.detected-private-key,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file.",open,2023-10-30T11:37:22.925799Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'misc-keys/cert-key.pem', 'line': 1, 'column': 1, 'end_line': 2, 'end_column': 65}"
generic.secrets.security.detected-slack-token.detected-slack-token,Slack Token detected,open,2023-10-30T11:37:22.925795Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.bash_profile', 'line': 23, 'column': 25, 'end_line': 23, 'end_column': 101}"
python.lang.security.audit.dangerous-subprocess-use-audit.dangerous-subprocess-use-audit,"Detected subprocess function 'Popen' without a static string. If this data can be controlled by a malicious actor, it may be an instance of command injection. Audit the use of this call to ensure it is not controllable by an external resource. You may consider using 'shlex.escape()'.",open,2023-10-30T11:37:22.925792Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 27, 'column': 9, 'end_line': 27, 'end_column': 65}"
python.lang.best-practice.unspecified-open-encoding.unspecified-open-encoding,"Missing 'encoding' parameter. 'open()' uses device locale encodings by default, corrupting files with special characters. Specify the encoding to ensure cross-platform support when opening files in text mode (e.g. encoding=""utf-8"").",open,2023-10-30T11:37:22.925782Z,medium,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 16, 'column': 10, 'end_line': 16, 'end_column': 29}"
python.lang.best-practice.unspecified-open-encoding.unspecified-open-encoding,"Missing 'encoding' parameter. 'open()' uses device locale encodings by default, corrupting files with special characters. Specify the encoding to ensure cross-platform support when opening files in text mode (e.g. encoding=""utf-8"").",open,2023-10-30T11:37:22.925780Z,medium,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 45, 'column': 10, 'end_line': 45, 'end_column': 31}"
python.lang.best-practice.unspecified-open-encoding.unspecified-open-encoding,"Missing 'encoding' parameter. 'open()' uses device locale encodings by default, corrupting files with special characters. Specify the encoding to ensure cross-platform support when opening files in text mode (e.g. encoding=""utf-8"").",open,2023-10-30T11:37:22.925777Z,medium,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 161, 'column': 10, 'end_line': 161, 'end_column': 68}"
python.lang.best-practice.unspecified-open-encoding.unspecified-open-encoding,"Missing 'encoding' parameter. 'open()' uses device locale encodings by default, corrupting files with special characters. Specify the encoding to ensure cross-platform support when opening files in text mode (e.g. encoding=""utf-8"").",open,2023-10-30T11:37:22.925773Z,medium,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 163, 'column': 10, 'end_line': 163, 'end_column': 72}"
python.lang.best-practice.unspecified-open-encoding.unspecified-open-encoding,"Missing 'encoding' parameter. 'open()' uses device locale encodings by default, corrupting files with special characters. Specify the encoding to ensure cross-platform support when opening files in text mode (e.g. encoding=""utf-8"").",open,2023-10-30T11:37:22.925764Z,medium,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': '.leaky-meta/benchmark.py', 'line': 165, 'column': 10, 'end_line': 165, 'end_column': 66}"
